問題,圖片,,課本選單,
一󠇡樣,https://jojochuang.github.io/Words-picture/一樣.JPEG,,美洲一,https://docs.google.com/spreadsheets/d/1264gdkuMnIn2k5L5KM69yumBfJFdYVhxzzsC-2R5Q2U/edit?gid=0#gid=0
一󠇢本,https://jojochuang.github.io/Words-picture/一本.JPEG,,美洲二,https://docs.google.com/spreadsheets/d/1264gdkuMnIn2k5L5KM69yumBfJFdYVhxzzsC-2R5Q2U/edit?gid=433074709#gid=433074709
二號,https://jojochuang.github.io/Words-picture/二號.JPEG,,,
二樓,https://jojochuang.github.io/Words-picture/二樓.JPEG,,,
三個󠇡,https://jojochuang.github.io/Words-picture/三個.JPEG,,,
三角形,https://jojochuang.github.io/Words-picture/三角形.JPEG,,,
四個󠇡,https://jojochuang.github.io/Words-picture/四個.JPEG,,,
五月,https://jojochuang.github.io/Words-picture/五月.JPEG,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
六歲,https://jojochuang.github.io/Words-picture/六歲.JPEG,,,
七天,https://jojochuang.github.io/Words-picture/七天.JPEG,,,
八點鐘,https://jojochuang.github.io/Words-picture/八點鐘.JPEG,,,
九十九,https://jojochuang.github.io/Words-picture/九十九.JPEG,,,
十分鐘,https://jojochuang.github.io/Words-picture/十分鐘.JPEG,,,
一󠇢百分,https://jojochuang.github.io/Words-picture/一百分.JPEG,,,
一󠇢千元,https://jojochuang.github.io/Words-picture/一千元.JPEG,,,
七根,https://jojochuang.github.io/Words-picture/七根.JPEG,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
上面,https://jojochuang.github.io/Words-picture/上面.JPEG,,,
中間,https://jojochuang.github.io/Words-picture/中間.JPEG,,,
上學,https://jojochuang.github.io/Words-picture/上學.JPEG,,,
小孩,https://jojochuang.github.io/Words-picture/小孩.JPEG,,,
洗手,https://jojochuang.github.io/Words-picture/洗手.JPEG,,,
手機,https://jojochuang.github.io/Words-picture/手機.JPEG,,,
力氣,https://jojochuang.github.io/Words-picture/力氣.JPEG,,,
用力,https://jojochuang.github.io/Words-picture/用力.JPEG,,,
中文,,,,
下面,,,,
下午,,,,
大家,,,,
很大,,,,
小學,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
筆尖,https://jojochuang.github.io/Words-picture/筆尖.JPEG,,,
工具,https://jojochuang.github.io/Words-picture/工具.JPEG,,,
口香糖,https://jojochuang.github.io/Words-picture/口香糖.JPEG,,,
不󠇡要,https://jojochuang.github.io/Words-picture/不要.JPEG,,,
左手,https://jojochuang.github.io/Words-picture/左手.JPEG,,,
右手,https://jojochuang.github.io/Words-picture/右手.JPEG,,,
左邊,https://jojochuang.github.io/Words-picture/左邊.JPEG,,,
右邊,https://jojochuang.github.io/Words-picture/右邊.JPEG,,,
工作,,,,
口水,,,,
有用,,,,
也有,,,,
很尖,,,,
不好,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
木頭󠇡,https://jojochuang.github.io/Words-picture/木頭.JPEG,,,
火山,https://jojochuang.github.io/Words-picture/火山.JPEG,,,
山洞,https://jojochuang.github.io/Words-picture/山洞.JPEG,,,
樹林,https://jojochuang.github.io/Words-picture/樹林.JPEG,,,
木瓜,https://jojochuang.github.io/Words-picture/木瓜.JPEG,,,
月亮,https://jojochuang.github.io/Words-picture/月亮.JPEG,,,
月餅,https://jojochuang.github.io/Words-picture/月餅.JPEG,,,
黏土,https://jojochuang.github.io/Words-picture/黏土.JPEG,,,
爬山,,,,
失火,,,,
喝水,,,,
汽水,,,,
森林,,,,
土地,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
每天,https://jojochuang.github.io/Words-picture/每天.JPEG,,,
生氣,https://jojochuang.github.io/Words-picture/生氣.JPEG,,,
生日,https://jojochuang.github.io/Words-picture/生日.JPEG,,,
卡片,https://jojochuang.github.io/Words-picture/卡片.JPEG,,,
卡車,https://jojochuang.github.io/Words-picture/卡車.JPEG,,,
早上,https://jojochuang.github.io/Words-picture/早上.JPEG,,,
紅包,https://jojochuang.github.io/Words-picture/紅包.JPEG,,,
紅綠燈,https://jojochuang.github.io/Words-picture/紅綠燈.JPEG,,,
天氣,,,,
生病,,,,
星期日,,,,
早安,,,,
也是,,,,
也許,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
白雲,https://jojochuang.github.io/Words-picture/白雲.JPEG,,,
花園,https://jojochuang.github.io/Words-picture/花園.JPEG,,,
爆米花,https://jojochuang.github.io/Words-picture/爆米花.JPEG,,,
雨傘,https://jojochuang.github.io/Words-picture/雨傘.JPEG,,,
雨衣,https://jojochuang.github.io/Words-picture/雨衣.JPEG,,,
白紙,https://jojochuang.github.io/Words-picture/白紙.JPEG,,,
白宮,https://jojochuang.github.io/Words-picture/白宮.JPEG,,,
很多,https://jojochuang.github.io/Words-picture/很多.JPEG,,,
烏雲,,,,
不多,,,,
多少,,,,
太少,,,,
我的,,,,
好的,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
石頭󠇡,https://jojochuang.github.io/Words-picture/石頭.JPEG,,,
化石,https://jojochuang.github.io/Words-picture/化石.JPEG,,,
風箏,https://jojochuang.github.io/Words-picture/風箏.JPEG,,,
沙灘,https://jojochuang.github.io/Words-picture/沙灘.JPEG,,,
沙發,https://jojochuang.github.io/Words-picture/沙發.JPEG,,,
房子󠇡,https://jojochuang.github.io/Words-picture/房子.JPEG,,,
足球,https://jojochuang.github.io/Words-picture/足球.JPEG,,,
玩具車,https://jojochuang.github.io/Words-picture/玩具車.JPEG,,,
大風,,,,
明天,,,,
聰明,,,,
小孩子󠇡,,,,
手足,,,,
好玩,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
大人,https://jojochuang.github.io/Words-picture/大人.JPEG,,,
過來,https://jojochuang.github.io/Words-picture/過來.JPEG,,,
起來,https://jojochuang.github.io/Words-picture/起來.JPEG,,,
白米,https://jojochuang.github.io/Words-picture/白米.JPEG,,,
玉米,https://jojochuang.github.io/Words-picture/玉米.JPEG,,,
種󠇡田,https://jojochuang.github.io/Words-picture/種田.JPEG,,,
好人,,,,
玉米田,,,,
不󠇡是,,,,
可是,,,,
我家,,,,
我們,https://jojochuang.github.io/Words-picture/我們.JPEG,,,
沒有,https://jojochuang.github.io/Words-picture/沒有.JPEG,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
星星,https://jojochuang.github.io/Words-picture/星星.JPEG,,,
星球,https://jojochuang.github.io/Words-picture/星球.JPEG,,,
坐下,https://jojochuang.github.io/Words-picture/坐下.JPEG,,,
回去,https://jojochuang.github.io/Words-picture/回去.JPEG,,,
肚子󠇡,https://jojochuang.github.io/Words-picture/肚子.JPEG,,,
我和󠇡你,https://jojochuang.github.io/Words-picture/我和你.JPEG,,,
烤肉,https://jojochuang.github.io/Words-picture/烤肉.JPEG,,,
烤牛肉,https://jojochuang.github.io/Words-picture/烤牛肉.JPEG,,,
不󠇡在,,,,
在家,,,,
坐車,,,,
出去,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
目光,,,,
題目,https://jojochuang.github.io/Words-picture/題目.jpeg,,,
耳朵,https://jojochuang.github.io/Words-picture/耳朵.jpeg,,,
耳機,https://jojochuang.github.io/Words-picture/耳機.jpeg,,,
舌頭󠇡,https://jojochuang.github.io/Words-picture/舌頭.jpeg,,,
舌尖,,,,
牙齒,,,,
牙刷,https://jojochuang.github.io/Words-picture/牙刷.jpeg,,,
小心,,,,
開心,https://jojochuang.github.io/Words-picture/開心.jpeg,,,
好吃,,,,
很好,https://jojochuang.github.io/Words-picture/很好.jpeg,,,
正在,,,,
正方形,https://jojochuang.github.io/Words-picture/正方形.jpeg,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
雪人,https://jojochuang.github.io/Words-picture/雪人.jpeg,,,
下雪,https://jojochuang.github.io/Words-picture/下雪.jpeg,,,
地球,https://jojochuang.github.io/Words-picture/地球.jpeg,,,
竹子󠇡,https://jojochuang.github.io/Words-picture/竹子.jpeg,,,
你們,https://jojochuang.github.io/Words-picture/你們.jpeg,,,
看書,https://jojochuang.github.io/Words-picture/看書.jpeg,,,
看見,https://jojochuang.github.io/Words-picture/看見.jpeg,,,
再見,https://jojochuang.github.io/Words-picture/再見.jpeg,,,
地上,,,,
竹葉,,,,
你好,,,,
他的,,,,
他們,,,,
好看,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
哭了,https://jojochuang.github.io/Words-picture/哭了.JPEG,,,
微笑,https://jojochuang.github.io/Words-picture/微笑.JPEG,,,
笑話,https://jojochuang.github.io/Words-picture/笑話.JPEG,,,
大叫,https://jojochuang.github.io/Words-picture/大叫.JPEG,,,
唱歌,https://jojochuang.github.io/Words-picture/唱歌.JPEG,,,
走路,https://jojochuang.github.io/Words-picture/走路.JPEG,,,
嘴巴󠇡,https://jojochuang.github.io/Words-picture/嘴巴.JPEG,,,
尾巴󠇡,https://jojochuang.github.io/Words-picture/尾巴.JPEG,,,
不哭,,,,
走開,,,,
好了,,,,
來了,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
比賽,https://jojochuang.github.io/Words-picture/比賽.JPEG,,,
行李箱,https://jojochuang.github.io/Words-picture/行李箱.JPEG,,,
李子󠇡,https://jojochuang.github.io/Words-picture/李子.JPEG,,,
座位,https://jojochuang.github.io/Words-picture/座位.JPEG,,,
刀子󠇡,https://jojochuang.github.io/Words-picture/刀子.JPEG,,,
剪刀,https://jojochuang.github.io/Words-picture/剪刀.JPEG,,,
草地,https://jojochuang.github.io/Words-picture/草地.JPEG,,,
草莓,https://jojochuang.github.io/Words-picture/草莓.JPEG,,,
比一󠇢比,,,,
下一󠇡位,,,,
哎呀󠇡,,,,
大象,,,,
象牙,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
交給我,https://jojochuang.github.io/Words-picture/交給我.JPEG,,,
朋友,https://jojochuang.github.io/Words-picture/朋友.JPEG,,,
一隻貓,https://jojochuang.github.io/Words-picture/一隻貓.JPEG,,,
學校,https://jojochuang.github.io/Words-picture/學校.JPEG,,,
校車,https://jojochuang.github.io/Words-picture/校車.JPEG,,,
女孩,https://jojochuang.github.io/Words-picture/女孩.JPEG,,,
女兒,https://jojochuang.github.io/Words-picture/媽媽和女兒.JPEG,,,
男孩,https://jojochuang.github.io/Words-picture/男孩.JPEG,,,
交朋友,,,,
男生,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
語言,https://jojochuang.github.io/Words-picture/語言.JPEG,,,
立正,https://jojochuang.github.io/Words-picture/立正.JPEG,,,
長江,https://jojochuang.github.io/Words-picture/長江.JPEG,,,
禾苗,https://jojochuang.github.io/Words-picture/禾苗.JPEG,,,
這是,https://jojochuang.github.io/Words-picture/這是.JPEG,,,
這裡,https://jojochuang.github.io/Words-picture/這裡.JPEG,,,
那是,https://jojochuang.github.io/Words-picture/那是.JPEG,,,
那裡,https://jojochuang.github.io/Words-picture/那裡.JPEG,,,
姓名,,,,
方言,,,,
立刻,,,,